transaction_id,customer_id,account_number,transaction_date,transaction_type,amount,currency,branch_code,status,risk_score,region,product_code
TXN0000001,CUST5552,ACC416611,2024-06-07,CREDIT,-37903.47,GBP,BR752,COMPLETED,22.54,EAST,CREDIT
TXN0000002,CUST3547,ACC421876,2024-10-14,CREDIT,13957.23,USD,BR250,COMPLETED,10.68,CENTRAL,SAVINGS
TXN0000003,CUST4527,ACC626474,2024-04-26,CREDIT,36789.65,USD,BR443,COMPLETED,5.33,CENTRAL,SAVINGS
TXN0000004,CUST6514,ACC958837,2024-09-23,DEBIT,-21937.05,EUR,BR841,COMPLETED,11.66,EAST,CREDIT
TXN0000005,CUST2674,ACC230804,2024-11-06,DEBIT,-37868.76,USD,BR684,COMPLETED,52.56,SOUTH,SAVINGS
TXN0000006,CUST2519,ACC833287,2024-04-22,CREDIT,-21324.62,USD,BR896,COMPLETED,68.63,EAST,SAVINGS
TXN0000007,CUST7224,ACC623376,2024-06-15,DEBIT,-12583.04,USD,BR214,COMPLETED,88.04,SOUTH,SAVINGS
TXN0000008,CUST2584,ACC780433,2024-12-09,WITHDRAWAL,56066.33,GBP,BR956,COMPLETED,90.36,CENTRAL,SAVINGS
TXN0000009,CUST6881,ACC578148,2024-12-05,CREDIT,57987.23,GBP,BR312,COMPLETED,84.0,EAST,SAVINGS
TXN0000010,CUST6635,ACC534166,2024-11-04,DEBIT,1927.14,USD,BR552,COMPLETED,62.21,EAST,CREDIT
TXN0000011,CUST5333,ACC530321,2024-07-04,DEBIT,72264.37,EUR,BR276,COMPLETED,83.71,EAST,LOAN
TXN0000012,CUST1711,ACC468814,2024-11-28,WITHDRAWAL,97510.84,GBP,BR958,COMPLETED,38.5,WEST,SAVINGS
TXN0000013,CUST8527,ACC469320,2024-05-04,DEBIT,99499.02,USD,BR110,COMPLETED,90.41,EAST,CHECKING
TXN0000014,CUST9785,ACC968415,2024-09-23,CREDIT,-49505.52,USD,BR943,COMPLETED,62.88,EAST,CREDIT
TXN0000015,CUST3045,ACC668817,2024-03-11,CREDIT,21922.91,EUR,BR523,,11.3,EAST,CHECKING
TXN0000016,CUST7201,ACC546535,2024-12-02,DEBIT,-49080.51,USD,BR913,COMPLETED,3.55,CENTRAL,CREDIT
TXN0000017,CUST2291,ACC648583,2024-10-14,PAYMENT,33788.47,USD,BR579,PENDING,51.98,NORTH,SAVINGS
TXN0000018,CUST5803,ACC902245,2024-01-09,DEBIT,87824.04,EUR,BR551,PENDING,77.35,EAST,SAVINGS
TXN0000019,CUST6925,ACC452139,2024-05-25,DEBIT,85357.99,USD,BR753,COMPLETED,84.74,EAST,CREDIT
TXN0000020,CUST4150,ACC218887,2024-01-02,CREDIT,34951.36,AUD,BR981,COMPLETED,70.72,SOUTH,CREDIT
TXN0000021,CUST2139,ACC284354,2024-06-25,PAYMENT,48793.38,GBP,BR783,COMPLETED,37.4,WEST,LOAN
TXN0000022,CUST1750,ACC581111,2024-07-27,CREDIT,41413.25,EUR,BR322,FAILED,32.59,CENTRAL,LOAN
TXN0000023,,ACC549192,2024-12-05,WITHDRAWAL,68855.3,EUR,BR161,COMPLETED,13.59,NORTH,LOAN
TXN0000024,CUST5741,ACC491246,2024-03-01,PAYMENT,9924.81,USD,BR735,PENDING,33.32,WEST,CHECKING
TXN0000025,CUST2307,ACC285488,2024-03-13,DEBIT,67335.72,EUR,BR792,COMPLETED,63.78,CENTRAL,SAVINGS
TXN0000026,CUST4814,ACC679604,2024-12-21,DEBIT,18410.29,EUR,BR571,,,,CHECKING
TXN0000027,CUST2654,ACC723789,2024-10-16,DEBIT,25685.32,AUD,BR675,COMPLETED,54.36,WEST,CHECKING
TXN0000028,CUST7227,ACC270558,2024-11-08,CREDIT,55652.41,USD,BR127,REVERSED,83.83,EAST,MORTGAGE
TXN0000029,CUST5554,ACC669128,2024-08-10,WITHDRAWAL,12190.51,USD,BR346,COMPLETED,4.63,WEST,LOAN
TXN0000030,CUST8428,ACC557049,2024-06-23,DEBIT,65304.54,GBP,BR973,COMPLETED,35.99,WEST,LOAN
TXN0000031,CUST6977,ACC500098,2024-01-16,CREDIT,-14347.98,USD,BR726,PENDING,79.11,EAST,CREDIT
TXN0000032,CUST3664,ACC398873,2024-10-08,PAYMENT,90154.59,USD,BR726,COMPLETED,48.69,SOUTH,LOAN
TXN0000033,CUST7065,ACC986142,2024-03-16,WITHDRAWAL,71780.0,USD,BR842,COMPLETED,88.79,WEST,CREDIT
TXN0000034,CUST6820,ACC791646,2024-07-26,PAYMENT,86792.91,USD,BR318,COMPLETED,78.15,SOUTH,SAVINGS
TXN0000035,CUST4432,ACC821997,2024-10-29,DEBIT,3760.45,USD,BR361,FAILED,18.97,EAST,CREDIT
TXN0000036,CUST5374,ACC813327,2024-07-02,PAYMENT,41633.11,USD,BR509,COMPLETED,,WEST,CHECKING
