customer_id,customer_name,email,phone,age,credit_score,account_balance,kyc_status,segment,country
CUST1000,Customer_0,customer_0@email.com,+15260700172,59.0,392.0,242752.99,VERIFIED,SME,FR
CUST1001,Customer_1,customer_1@email.com,+14604247747,56.0,706.0,341754.58,VERIFIED,SME,FR
CUST1002,Customer_2,customer_2@email.com,+13364349654,60.0,372.0,436395.12,VERIFIED,SME,US
CUST1003,Customer_3,customer_3@email.com,+14150005179,54.0,803.0,191072.75,VERIFIED,RETAIL,US
CUST1004,Customer_4,customer_4@email.com,+11005626499,81.0,578.0,396090.95,VERIFIED,RETAIL,DE
CUST1005,Customer_5,customer_5@email.com,+14930738955,49.0,679.0,340622.14,VERIFIED,RETAIL,DE
CUST1006,Customer_6,customer_6@email.com,+14412482965,77.0,439.0,327832.17,PENDING,PREMIUM,US
CUST1007,Customer_7,customer_7@email.com,+16844651806,73.0,501.0,102043.34,PENDING,PREMIUM,US
CUST1008,Customer_8,customer_8@email.com,+17072532175,,,242536.07,VERIFIED,PREMIUM,DE
CUST1009,Customer_9,customer_9@email.com,+12391389829,56.0,515.0,28326.24,VERIFIED,RETAIL,UK
CUST1010,Customer_10,customer_10@email.com,+13916713665,32.0,690.0,168565.38,FAILED,RETAIL,US
CUST1011,Customer_11,customer_11@email.com,+18410053698,19.0,462.0,216923.12,PENDING,RETAIL,DE
CUST1012,Customer_12,customer_12@email.com,+11874338569,61.0,571.0,349514.48,VERIFIED,RETAIL,FR
CUST1013,Customer_13,customer_13@email.com,+11337304303,37.0,317.0,149461.2,PENDING,RETAIL,FR
CUST1014,Customer_14,customer_14@email.com,+14922694089,40.0,686.0,185874.76,,PREMIUM,US
CUST1015,Customer_15,customer_15@email.com,+18042688872,66.0,601.0,334998.04,VERIFIED,SME,AU
CUST1016,Customer_16,customer_16@email.com,+16659610255,150.0,723.0,293417.43,VERIFIED,RETAIL,DE
CUST1017,Customer_17,customer_17@email.com,+11665616543,82.0,341.0,217848.9,VERIFIED,RETAIL,AU
CUST1018,Customer_18,customer_18@email.com,+17778166575,65.0,689.0,332462.42,VERIFIED,RETAIL,US
CUST1019,Customer_19,,+16789575526,33.0,816.0,410726.37,VERIFIED,CORPORATE,UK
CUST1020,Customer_20,customer_20@email.com,+17678347576,61.0,391.0,118375.12,PENDING,RETAIL,UK
CUST1021,Customer_21,customer_21@email.com,+18721668561,41.0,483.0,37866.86,VERIFIED,CORPORATE,DE
CUST1022,Customer_22,customer_22@email.com,+12233731661,47.0,561.0,16051.59,FAILED,RETAIL,US
CUST1023,Customer_23,customer_23@email.com,+14370238187,77.0,443.0,315274.2,PENDING,CORPORATE,UK
CUST1024,Customer_24,,+19996506166,32.0,485.0,7015.09,PENDING,RETAIL,DE
CUST1025,Customer_25,customer_25@email.com,+11084109632,51.0,654.0,60595.76,VERIFIED,CORPORATE,DE
CUST1026,Customer_26,customer_26@email.com,+15334513425,77.0,733.0,125362.71,VERIFIED,RETAIL,US
CUST1027,Customer_27,customer_27@email.com,+14364562547,27.0,416.0,122016.46,FAILED,PREMIUM,US
CUST1028,Customer_28,customer_28@email.com,+14254862837,77.0,511.0,243780.57,FAILED,PREMIUM,UK
CUST1029,Customer_29,customer_29@email.com,,28.0,431.0,201398.05,FAILED,CORPORATE,AU
CUST1030,Customer_30,customer_30@email.com,+12388966857,31.0,393.0,10483.92,VERIFIED,SME,DE
CUST1031,Customer_31,,+17617638953,59.0,429.0,422504.72,VERIFIED,RETAIL,FR
CUST1032,Customer_32,customer_32@email.com,+11335674720,85.0,556.0,488051.88,,RETAIL,UK
CUST1033,Customer_33,customer_33@email.com,+11520497740,53.0,628.0,202875.44,VERIFIED,CORPORATE,US
CUST1034,Customer_34,customer_34@email.com,+14391611231,82.0,398.0,343659.33,VERIFIED,PREMIUM,US
CUST1035,Customer_35,customer_35@email.com,,56.0,683.0,496231.29,VERIFIED,CORPORATE,US
CUST1036,Customer_36,customer_36@email.com,+15285083885,20.0,545.0,397233.87,VERIFIED,SME,FR
CUST1037,Customer_37,customer_37@email.com,+16184562688,21.0,704.0,298658.23,VERIFIED,CORPORATE,DE
CUST1038,Customer_38,customer_38@email.com,+16260144437,40.0,821.0,113010.25,VERIFIED,CORPORATE,US
CUST1039,Customer_39,customer_39@email.com,+16454376836,44.0,717.0,87095.25,VERIFIED,PREMIUM,DE
CUST1040,Customer_40,customer_40@email.com,+17409883305,84.0,415.0,34203.54,VERIFIED,PREMIUM,FR
CUST1041,Customer_41,customer_41@email.com,+11801447031,64.0,316.0,182989.35,,PREMIUM,UK
CUST1042,Customer_42,customer_42@email.com,+13315406893,-5.0,306.0,374420.28,VERIFIED,SME,US
CUST1043,Customer_43,customer_43@email.com,+16096526728,64.0,300.0,124969.98,VERIFIED,SME,US
CUST1044,Customer_44,,+18734080965,83.0,762.0,23832.33,VERIFIED,RETAIL,UK
CUST1045,Customer_45,customer_45@email.com,+15926714288,48.0,400.0,466960.75,PENDING,RETAIL,US
CUST1046,Customer_46,customer_46@email.com,+16095508953,69.0,382.0,420013.12,VERIFIED,CORPORATE,FR
CUST1047,Customer_47,customer_47@email.com,+16772556727,,310.0,415608.77,FAILED,CORPORATE,US
CUST1048,Customer_48,,+14982824253,48.0,605.0,304167.45,PENDING,PREMIUM,DE
CUST1049,Customer_49,customer_49@email.com,+17714413563,79.0,574.0,405789.25,VERIFIED,RETAIL,DE
CUST1050,Customer_50,customer_50@email.com,+11057041857,46.0,645.0,225165.62,VERIFIED,CORPORATE,US
CUST1051,Customer_51,customer_51@email.com,+15886121921,25.0,341.0,332888.38,VERIFIED,RETAIL,US
CUST1052,Customer_52,customer_52@email.com,+18336717914,40.0,465.0,492510.94,VERIFIED,CORPORATE,UK
CUST1053,Customer_53,customer_53@email.com,+16281898985,81.0,421.0,388945.51,VERIFIED,CORPORATE,UK
CUST1054,Customer_54,customer_54@email.com,+12481060121,29.0,542.0,360480.69,VERIFIED,SME,DE
CUST1055,Customer_55,customer_55@email.com,+13995873310,57.0,696.0,449958.87,VERIFIED,RETAIL,US
CUST1056,Customer_56,customer_56@email.com,+16214875152,55.0,323.0,463515.98,VERIFIED,PREMIUM,
CUST1057,Customer_57,customer_57@email.com,+15249309413,72.0,357.0,48178.19,VERIFIED,RETAIL,US
CUST1058,Customer_58,customer_58@email.com,+11438919727,42.0,,291364.06,VERIFIED,CORPORATE,US
CUST1059,Customer_59,customer_59@email.com,+12043407380,67.0,788.0,9952.18,VERIFIED,RETAIL,UK
CUST1060,Customer_60,customer_60@email.com,+12713491820,56.0,646.0,558.83,PENDING,PREMIUM,AU
CUST1061,Customer_61,customer_61@email.com,+11753338402,35.0,378.0,284034.04,PENDING,PREMIUM,AU
CUST1062,Customer_62,customer_62@email.com,+19575954260,52.0,676.0,399503.03,VERIFIED,CORPORATE,
CUST1063,Customer_63,customer_63@email.com,+16486824909,46.0,487.0,179465.77,VERIFIED,RETAIL,DE
CUST1064,Customer_64,customer_64@email.com,+19411778362,41.0,374.0,214364.2,VERIFIED,RETAIL,US
CUST1065,Customer_65,customer_65@email.com,+15408079668,63.0,412.0,341841.87,VERIFIED,RETAIL,UK
CUST1066,Customer_66,customer_66@email.com,+11647025150,66.0,584.0,476328.15,VERIFIED,CORPORATE,US
CUST1067,Customer_67,customer_67@email.com,+19918168257,64.0,638.0,387905.3,FAILED,RETAIL,AU
CUST1068,Customer_68,customer_68@email.com,+15290215517,39.0,812.0,423477.97,VERIFIED,PREMIUM,FR
CUST1069,Customer_69,customer_69@email.com,+18341224569,55.0,310.0,245546.67,VERIFIED,PREMIUM,AU
CUST1070,Customer_70,customer_70@email.com,+15037010660,66.0,488.0,226973.62,PENDING,RETAIL,US
CUST1071,Customer_71,customer_71@email.com,+14792540042,37.0,437.0,282351.24,VERIFIED,CORPORATE,AU
CUST1072,Customer_72,customer_72@email.com,+11941441436,29.0,363.0,100156.9,VERIFIED,RETAIL,US
